   1100.00  0.1000E+01  0.1864E-02  0.1000E+01 -0.3000E-02
   1120.00  0.1000E+01  0.4214E-02  0.1000E+01 -0.8000E-02
   1140.00  0.1000E+01  0.6735E-02  0.1000E+01 -0.1400E-01
   1160.00  0.9999E+00  0.9438E-02  0.1000E+01 -0.2000E-01
   1180.00  0.9998E+00  0.1250E-01  0.9990E+00 -0.2600E-01
   1200.00  0.9997E+00  0.1615E-01  0.9990E+00 -0.3300E-01
   1220.00  0.9996E+00  0.2071E-01  0.9980E+00 -0.3900E-01
   1240.00  0.9993E+00  0.2628E-01  0.9980E+00 -0.4500E-01
   1260.00  0.9989E+00  0.3324E-01  0.9970E+00 -0.5100E-01
   1280.00  0.9982E+00  0.4177E-01  0.9970E+00 -0.5700E-01
   1300.00  0.9972E+00  0.5210E-01  0.9960E+00 -0.6200E-01
   1320.00  0.9955E+00  0.6450E-01  0.9950E+00 -0.6700E-01
   1340.00  0.9927E+00  0.7926E-01  0.9940E+00 -0.7200E-01
   1360.00  0.9879E+00  0.9654E-01  0.9930E+00 -0.7600E-01
   1380.00  0.9796E+00  0.1157E+00  0.9920E+00 -0.7900E-01
   1400.00  0.9673E+00  0.1349E+00  0.9910E+00 -0.8200E-01
   1420.00  0.9517E+00  0.1522E+00  0.9900E+00 -0.8400E-01
   1440.00  0.9339E+00  0.1674E+00  0.9890E+00 -0.8400E-01
   1460.00  0.9153E+00  0.1799E+00  0.9870E+00 -0.8400E-01
   1480.00  0.8964E+00  0.1907E+00  0.9840E+00 -0.8200E-01
   1500.00  0.8761E+00  0.2001E+00  0.9810E+00 -0.7900E-01
   1520.00  0.8551E+00  0.2056E+00  0.9770E+00 -0.7500E-01
   1540.00  0.8353E+00  0.2084E+00  0.9720E+00 -0.6900E-01
   1560.00  0.8180E+00  0.2078E+00  0.9650E+00 -0.6300E-01
   1580.00  0.8023E+00  0.2076E+00  0.9550E+00 -0.5600E-01
   1600.00  0.7900E+00  0.2053E+00  0.9430E+00 -0.4800E-01
   1620.00  0.7771E+00  0.2018E+00  0.9280E+00 -0.4200E-01
   1640.00  0.7650E+00  0.2001E+00  0.9110E+00 -0.3700E-01
   1660.00  0.7557E+00  0.1988E+00  0.8930E+00 -0.3500E-01
   1680.00  0.7485E+00  0.1961E+00  0.8740E+00 -0.3600E-01
   1700.00  0.7421E+00  0.1915E+00  0.8550E+00 -0.4000E-01
   1720.00  0.7356E+00  0.1857E+00  0.8380E+00 -0.4600E-01
   1740.00  0.7291E+00  0.1795E+00  0.8230E+00 -0.5400E-01
   1760.00  0.7228E+00  0.1733E+00  0.8100E+00 -0.6400E-01
   1780.00  0.7169E+00  0.1682E+00  0.8000E+00 -0.7300E-01
   1800.00  0.7123E+00  0.1645E+00  0.7920E+00 -0.8300E-01
   1820.00  0.7092E+00  0.1622E+00  0.7850E+00 -0.9100E-01
   1840.00  0.7083E+00  0.1609E+00  0.7800E+00 -0.9900E-01
   1860.00  0.7096E+00  0.1601E+00  0.7760E+00 -0.1060E+00
   1880.00  0.7127E+00  0.1592E+00  0.7730E+00 -0.1120E+00
   1900.00  0.7171E+00  0.1575E+00  0.7700E+00 -0.1170E+00
   1920.00  0.7222E+00  0.1546E+00  0.7670E+00 -0.1210E+00
   1940.00  0.7279E+00  0.1510E+00  0.7650E+00 -0.1250E+00
   1960.00  0.7345E+00  0.1468E+00  0.7630E+00 -0.1290E+00
   1980.00  0.7420E+00  0.1423E+00  0.7610E+00 -0.1310E+00
   2000.00  0.7503E+00  0.1379E+00  0.7590E+00 -0.1340E+00
   2020.00  0.7590E+00  0.1344E+00  0.7570E+00 -0.1360E+00
   2040.00  0.7674E+00  0.1318E+00  0.7550E+00 -0.1390E+00
   
