   1100.00  0.9971E+00 -0.5364E-01  0.9970E+00 -0.5500E-01
   1120.00  0.9921E+00 -0.8862E-01  0.9920E+00 -0.8900E-01
   1140.00  0.9846E+00 -0.1232E+00  0.9850E+00 -0.1210E+00
   1160.00  0.9746E+00 -0.1575E+00  0.9760E+00 -0.1520E+00
   1180.00  0.9622E+00 -0.1908E+00  0.9660E+00 -0.1810E+00
   1200.00  0.9476E+00 -0.2229E+00  0.9550E+00 -0.2080E+00
   1220.00  0.9317E+00 -0.2523E+00  0.9420E+00 -0.2340E+00
   1240.00  0.9132E+00 -0.2816E+00  0.9280E+00 -0.2580E+00
   1260.00  0.8938E+00 -0.3081E+00  0.9140E+00 -0.2800E+00
   1280.00  0.8736E+00 -0.3323E+00  0.8990E+00 -0.3010E+00
   1300.00  0.8526E+00 -0.3545E+00  0.8830E+00 -0.3200E+00
   1320.00  0.8312E+00 -0.3746E+00  0.8680E+00 -0.3380E+00
   1340.00  0.8096E+00 -0.3926E+00  0.8520E+00 -0.3550E+00
   1360.00  0.7880E+00 -0.4087E+00  0.8360E+00 -0.3690E+00
   1380.00  0.7666E+00 -0.4229E+00  0.8210E+00 -0.3820E+00
   1400.00  0.7456E+00 -0.4354E+00  0.8070E+00 -0.3920E+00
   1420.00  0.7251E+00 -0.4462E+00  0.7940E+00 -0.4000E+00
   1440.00  0.7028E+00 -0.4566E+00  0.7830E+00 -0.4050E+00
   1460.00  0.6840E+00 -0.4643E+00  0.7740E+00 -0.4060E+00
   1480.00  0.6660E+00 -0.4706E+00  0.7670E+00 -0.4010E+00
   1500.00  0.6490E+00 -0.4757E+00  0.7630E+00 -0.3900E+00
   1520.00  0.6329E+00 -0.4797E+00  0.7600E+00 -0.3680E+00
   1540.00  0.6179E+00 -0.4827E+00  0.7520E+00 -0.3310E+00
   1560.00  0.6041E+00 -0.4844E+00  0.7300E+00 -0.2790E+00
   1580.00  0.5916E+00 -0.4851E+00  0.6770E+00 -0.2210E+00
   1600.00  0.5802E+00 -0.4846E+00  0.5910E+00 -0.1870E+00
   1620.00  0.5697E+00 -0.4828E+00  0.5020E+00 -0.1950E+00
   1640.00  0.5600E+00 -0.4791E+00  0.4380E+00 -0.2320E+00
   1660.00  0.5506E+00 -0.4731E+00  0.4030E+00 -0.2720E+00
   1680.00  0.5406E+00 -0.4648E+00  0.3860E+00 -0.3030E+00
   1700.00  0.5291E+00 -0.4548E+00  0.3770E+00 -0.3250E+00
   1720.00  0.5161E+00 -0.4452E+00  0.3720E+00 -0.3390E+00
   1740.00  0.5025E+00 -0.4377E+00  0.3680E+00 -0.3470E+00
   1760.00  0.4897E+00 -0.4326E+00  0.3640E+00 -0.3500E+00
   1780.00  0.4779E+00 -0.4288E+00  0.3590E+00 -0.3510E+00
   1800.00  0.4672E+00 -0.4256E+00  0.3540E+00 -0.3500E+00
   1820.00  0.4572E+00 -0.4223E+00  0.3490E+00 -0.3480E+00
   1840.00  0.4469E+00 -0.4190E+00  0.3440E+00 -0.3450E+00
   1860.00  0.4363E+00 -0.4164E+00  0.3390E+00 -0.3420E+00
   1880.00  0.4259E+00 -0.4148E+00  0.3350E+00 -0.3380E+00
   1900.00  0.4166E+00 -0.4139E+00  0.3310E+00 -0.3340E+00
   1920.00  0.4089E+00 -0.4126E+00  0.3270E+00 -0.3300E+00
   1940.00  0.4029E+00 -0.4101E+00  0.3240E+00 -0.3260E+00
   1960.00  0.3984E+00 -0.4060E+00  0.3210E+00 -0.3210E+00
   1980.00  0.3951E+00 -0.4000E+00  0.3190E+00 -0.3170E+00
   2000.00  0.3925E+00 -0.3922E+00  0.3170E+00 -0.3120E+00
   2020.00  0.3904E+00 -0.3827E+00  0.3170E+00 -0.3070E+00
   2040.00  0.3887E+00 -0.3716E+00  0.3170E+00 -0.3030E+00
   
