   1100.00  0.1000E+01 -0.2381E-04  0.1000E+01  0.0000E+00
   1120.00  0.1000E+01 -0.8744E-04  0.1000E+01  0.0000E+00
   1140.00  0.1000E+01 -0.1667E-03  0.1000E+01 -0.1000E-02
   1160.00  0.1000E+01 -0.2266E-03  0.1000E+01 -0.2000E-02
   1180.00  0.1000E+01 -0.2372E-03  0.1000E+01 -0.4000E-02
   1200.00  0.1000E+01 -0.1764E-03  0.1000E+01 -0.5000E-02
   1220.00  0.1000E+01 -0.1008E-03  0.1000E+01 -0.7000E-02
   1240.00  0.1000E+01  0.2037E-03  0.1000E+01 -0.9000E-02
   1260.00  0.1000E+01  0.5330E-03  0.1000E+01 -0.1100E-01
   1280.00  0.1000E+01  0.9578E-03  0.1000E+01 -0.1300E-01
   1300.00  0.1000E+01  0.1481E-02  0.1000E+01 -0.1600E-01
   1320.00  0.1000E+01  0.2112E-02  0.1000E+01 -0.1800E-01
   1340.00  0.1000E+01  0.2869E-02  0.1000E+01 -0.2100E-01
   1360.00  0.1000E+01  0.3781E-02  0.9990E+00 -0.2300E-01
   1380.00  0.9999E+00  0.4890E-02  0.9990E+00 -0.2600E-01
   1400.00  0.9997E+00  0.6226E-02  0.9990E+00 -0.2800E-01
   1420.00  0.9994E+00  0.7817E-02  0.9990E+00 -0.3100E-01
   1440.00  0.9990E+00  0.7609E-02  0.9980E+00 -0.3300E-01
   1460.00  0.9982E+00  0.9496E-02  0.9980E+00 -0.3500E-01
   1480.00  0.9972E+00  0.1156E-01  0.9980E+00 -0.3700E-01
   1500.00  0.9959E+00  0.1386E-01  0.9970E+00 -0.3900E-01
   1520.00  0.9941E+00  0.1826E-01  0.9970E+00 -0.4100E-01
   1540.00  0.9919E+00  0.2458E-01  0.9960E+00 -0.4300E-01
   1560.00  0.9890E+00  0.2877E-01  0.9960E+00 -0.4500E-01
   1580.00  0.9859E+00  0.3215E-01  0.9950E+00 -0.4600E-01
   1600.00  0.9828E+00  0.3496E-01  0.9950E+00 -0.4700E-01
   1620.00  0.9794E+00  0.3720E-01  0.9940E+00 -0.4800E-01
   1640.00  0.9755E+00  0.3917E-01  0.9930E+00 -0.4900E-01
   1660.00  0.9707E+00  0.4107E-01  0.9920E+00 -0.4900E-01
   1680.00  0.9651E+00  0.4340E-01  0.9910E+00 -0.4900E-01
   1700.00  0.9587E+00  0.4647E-01  0.9900E+00 -0.4900E-01
   1720.00  0.9522E+00  0.5056E-01  0.9880E+00 -0.4900E-01
   1740.00  0.9464E+00  0.5539E-01  0.9860E+00 -0.4800E-01
   1760.00  0.9416E+00  0.6005E-01  0.9840E+00 -0.4700E-01
   1780.00  0.9375E+00  0.6376E-01  0.9820E+00 -0.4500E-01
   1800.00  0.9336E+00  0.6658E-01  0.9790E+00 -0.4300E-01
   1820.00  0.9300E+00  0.6850E-01  0.9760E+00 -0.4100E-01
   1840.00  0.9264E+00  0.6914E-01  0.9720E+00 -0.3900E-01
   1860.00  0.9227E+00  0.6856E-01  0.9670E+00 -0.3700E-01
   1880.00  0.9187E+00  0.6650E-01  0.9620E+00 -0.3500E-01
   1900.00  0.9137E+00  0.6313E-01  0.9570E+00 -0.3400E-01
   1920.00  0.9076E+00  0.5885E-01  0.9510E+00 -0.3200E-01
   1940.00  0.9002E+00  0.5408E-01  0.9450E+00 -0.3200E-01
   1960.00  0.8914E+00  0.4928E-01  0.9390E+00 -0.3100E-01
   1980.00  0.8814E+00  0.4476E-01  0.9330E+00 -0.3100E-01
   2000.00  0.8705E+00  0.4061E-01  0.9270E+00 -0.3200E-01
   2020.00  0.8586E+00  0.3679E-01  0.9220E+00 -0.3200E-01
   2040.00  0.8456E+00  0.3348E-01  0.9170E+00 -0.3300E-01
   
